frequency,Tian_dB_20dB,Tian_dB_34dB,Tian_dB_40dB,Tian_arg_20dB,Tian_arg_34dB,Tian_arg_40dB
6.943591430000000400e+03,1.431734699999999982e+01,1.995376279999999891e+00,-3.793570260000000083e+00,-9.348939819999999656e+01,-9.362426299999999912e+01,-9.364513329999999769e+01
7.267518380000000434e+03,1.392356350000000020e+01,1.601607400000000014e+00,-4.187337280000000383e+00,-9.370698129999999537e+01,-9.384648219999999696e+01,-9.386806869999999492e+01
7.606556910000000244e+03,1.352998599999999918e+01,1.208045620000000042e+00,-4.580897049999999915e+00,-9.393257490000000587e+01,-9.407701559999999574e+01,-9.409936530000000232e+01
7.961412000000000262e+03,1.313663400000000081e+01,8.147106880000000162e-01,-4.974229799999999813e+00,-9.416669210000000589e+01,-9.431638859999999625e+01,-9.433955050000000142e+01
8.332821509999999762e+03,1.274352900000000055e+01,4.216240419999999767e-01,-5.367314129999999572e+00,-9.440987040000000263e+01,-9.456515199999999766e+01,-9.458917700000000650e+01
8.721557720000000700e+03,1.235069419999999951e+01,2.880897920000000112e-02,-5.760126709999999761e+00,-9.466267320000000041e+01,-9.482388339999999971e+01,-9.484882450000000631e+01
9.128428949999999531e+03,1.195815480000000086e+01,-3.637092100000000050e-01,-6.152642229999999657e+00,-9.492569260000000497e+01,-9.509319019999999512e+01,-9.511910310000000379e+01
9.554281209999999191e+03,1.156593819999999972e+01,-7.559030469999999946e-01,-6.544833230000000057e+00,-9.519955149999999833e+01,-9.537371179999999526e+01,-9.540065439999999342e+01
1.000000000000000000e+04,1.117407419999999973e+01,-1.147742749999999923e+00,-6.936669939999999812e+00,-9.548490639999999985e+01,-9.566612250000000017e+01,-9.569415569999999605e+01
1.046651209999999992e+04,1.078259489999999943e+01,-1.539196049999999927e+00,-7.328120049999999885e+00,-9.578245040000000188e+01,-9.597113459999999918e+01,-9.600032199999999705e+01
1.095478759999999966e+04,1.039153549999999981e+01,-1.930227949999999915e+00,-7.719148599999999583e+00,-9.609291629999999884e+01,-9.628950140000000602e+01,-9.631991010000000131e+01
1.146584170000000086e+04,1.000093369999999915e+01,-2.320800629999999920e+00,-8.109717769999999604e+00,-9.641708049999999730e+01,-9.662202150000000245e+01,-9.665372189999999364e+01
1.200073710000000028e+04,9.610830449999999914e+00,-2.710873209999999922e+00,-8.499786719999999463e+00,-9.675576660000000118e+01,-9.696954289999999332e+01,-9.700260900000000674e+01
1.256058599999999933e+04,9.221269980000000643e+00,-3.100401580000000212e+00,-8.889311340000000783e+00,-9.710984999999999445e+01,-9.733296679999999412e+01,-9.736747680000000571e+01
1.314655249999999978e+04,8.832299980000000161e+00,-3.489338220000000046e+00,-9.278244150000000801e+00,-9.748026319999999600e+01,-9.771325380000000393e+01,-9.774929009999999607e+01
1.375985510000000068e+04,8.443971799999999917e+00,-3.877632010000000129e+00,-9.666534110000000624e+00,-9.786800019999999733e+01,-9.811142839999999410e+01,-9.814907829999999933e+01
1.440176900000000023e+04,8.056340580000000529e+00,-4.265228190000000197e+00,-1.005412650000000063e+01,-9.827412400000000048e+01,-9.852858670000000529e+01,-9.856794229999999857e+01
1.507362900000000081e+04,7.669465480000000390e+00,-4.652068009999999809e+00,-1.044096260000000065e+01,-9.869977210000000412e+01,-9.896590190000000575e+01,-9.900706110000000137e+01
1.577683200000000033e+04,7.283409729999999804e+00,-5.038088880000000103e+00,-1.082698010000000011e+01,-9.914616449999999759e+01,-9.942463320000000238e+01,-9.946769980000000544e+01
1.651284040000000095e+04,6.898240760000000193e+00,-5.423224199999999939e+00,-1.121211240000000053e+01,-9.961461239999999862e+01,-9.990613399999999444e+01,-9.995121840000000191e+01
1.728318439999999828e+04,6.514030149999999963e+00,-5.807403360000000347e+00,-1.159628909999999991e+01,-1.001065269999999998e+02,-1.004118619999999993e+02,-1.004590809999999976e+02
1.808946580000000176e+04,6.130853710000000234e+00,-6.190551939999999753e+00,-1.197943599999999975e+01,-1.006234309999999965e+02,-1.009433889999999963e+02,-1.009928689999999989e+02
1.893336130000000048e+04,5.748791190000000384e+00,-6.572591830000000357e+00,-1.236147539999999978e+01,-1.011669669999999996e+02,-1.015024140000000017e+02,-1.015542879999999997e+02
1.981662549999999828e+04,5.367926070000000216e+00,-6.953441709999999887e+00,-1.274232609999999966e+01,-1.017389160000000032e+02,-1.020907760000000053e+02,-1.021451870000000071e+02
2.074109509999999864e+04,4.988345100000000087e+00,-7.333017429999999948e+00,-1.312190469999999998e+01,-1.023412069999999972e+02,-1.027104709999999983e+02,-1.027675720000000013e+02
2.170869229999999880e+04,4.610137660000000359e+00,-7.711232940000000369e+00,-1.350012539999999994e+01,-1.029759339999999952e+02,-1.033636630000000025e+02,-1.034236180000000047e+02
2.272142910000000120e+04,4.233394839999999881e+00,-8.088001229999999708e+00,-1.387690210000000057e+01,-1.036453740000000039e+02,-1.040527079999999955e+02,-1.041156919999999957e+02
2.378141129999999976e+04,3.858208219999999855e+00,-8.463235830000000348e+00,-1.425214910000000046e+01,-1.043520089999999954e+02,-1.047801719999999932e+02,-1.048463739999999973e+02
2.489084289999999964e+04,3.484668239999999972e+00,-8.836852520000000766e+00,-1.462578309999999959e+01,-1.050985430000000065e+02,-1.055488500000000016e+02,-1.056184740000000062e+02
2.605203090000000157e+04,3.112862020000000118e+00,-9.208771889999999516e+00,-1.499772609999999951e+01,-1.058879249999999956e+02,-1.063617940000000033e+02,-1.064350579999999979e+02
2.726738969999999972e+04,2.742870669999999844e+00,-9.578922280000000455e+00,-1.536790790000000051e+01,-1.067233810000000034e+02,-1.072223379999999935e+02,-1.072994750000000010e+02
2.853944640000000072e+04,2.374765689999999818e+00,-9.947243690000000527e+00,-1.573627040000000044e+01,-1.076084309999999959e+02,-1.081341189999999983e+02,-1.082153849999999977e+02
2.987084609999999884e+04,2.008604669999999981e+00,-1.031369259999999954e+01,-1.610277230000000159e+01,-1.085469269999999966e+02,-1.091011170000000021e+02,-1.091867819999999938e+02
3.126435729999999967e+04,1.644425650000000072e+00,-1.067824820000000052e+01,-1.646739570000000086e+01,-1.095430759999999992e+02,-1.101276730000000015e+02,-1.102180299999999988e+02
3.272287740000000122e+04,1.282240360000000079e+00,-1.104091949999999933e+01,-1.683015269999999930e+01,-1.106014729999999986e+02,-1.112185240000000022e+02,-1.113138880000000057e+02
3.424943920000000071e+04,9.220256719999999628e-01,-1.140175490000000025e+01,-1.719109590000000054e+01,-1.117271279999999933e+02,-1.123788330000000002e+02,-1.124795390000000026e+02
3.584721710000000166e+04,5.637133920000000353e-01,-1.176085280000000033e+01,-1.755032860000000028e+01,-1.129254959999999954e+02,-1.136142069999999933e+02,-1.137206160000000068e+02
3.751953310000000056e+04,2.071776630000000119e-01,-1.211837560000000025e+01,-1.790801889999999830e+01,-1.142024980000000056e+02,-1.149307239999999979e+02,-1.150432179999999960e+02
