time,vphi1,vphi2,Vcm
7.726804949999999117e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435898969999999997e-01
7.746804950000000245e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435914799999999714e-01
7.766804950000000263e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435930680000000237e-01
7.786804950000000280e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435946599999999629e-01
7.806804950000000298e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435962569999999827e-01
7.826804950000000316e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.435978580000000004e-01
7.838750110000000104e-01,1.350000000000000089e+00,0.000000000000000000e+00,7.435705489999999696e-01
7.838750209999999496e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.433737740000000427e-01
7.838750450000000480e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.435146689999999614e-01
7.838752449999999428e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.435315009999999836e-01
7.838779049999999859e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.435317089999999851e-01
7.839204699999999804e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.435317359999999987e-01
7.840000029999999454e-01,0.000000000000000000e+00,4.499999980000000122e-01,7.435329899999999492e-01
7.840000120000000239e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435346379999999700e-01
7.840000510000000311e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435323000000000349e-01
7.840003309999999948e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435321769999999608e-01
7.840048079999999420e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435321860000000393e-01
7.840764460000000380e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435324039999999801e-01
7.851113459999999877e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435355559999999864e-01
7.871113459999999895e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435416470000000277e-01
7.891113459999999913e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435477379999999581e-01
7.911113459999999931e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435538289999999995e-01
7.931113459999999948e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435599200000000408e-01
7.951113459999999966e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435660109999999712e-01
7.971113459999999984e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435721020000000125e-01
7.991113460000000002e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.435781930000000539e-01
7.998750129999999681e-01,0.000000000000000000e+00,1.050000000000000044e+00,7.435793339999999807e-01
7.998750220000000466e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.435807989999999590e-01
7.998750699999999103e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.435804070000000543e-01
7.998753840000000226e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.435806959999999854e-01
7.998802440000000180e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.435831979999999453e-01
7.999579960000000600e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.436009300000000488e-01
8.000000069999999575e-01,1.050000009999999984e+00,0.000000000000000000e+00,7.437409430000000432e-01
8.000000159999999250e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.437406389999999812e-01
8.000000769999999761e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.437104479999999684e-01
8.000006999999998980e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.440125779999999800e-01
8.000106690000000631e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449644690000000180e-01
8.001701780000000097e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449607089999999987e-01
8.016806060000000178e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449618289999999643e-01
8.036806060000000196e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449634019999999968e-01
8.056806060000000214e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449649780000000554e-01
8.076806060000000231e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449665589999999726e-01
8.096806060000000249e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449681430000000271e-01
8.116806060000000267e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449697299999999967e-01
8.136806059999999174e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449713199999999924e-01
8.156806060000000302e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.449729139999999861e-01
8.158750169999999802e-01,4.500000029999999818e-01,0.000000000000000000e+00,7.447997929999999878e-01
8.158750259999999477e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.447897300000000387e-01
8.158751119999999579e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.449049420000000143e-01
8.158757770000000242e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.449063670000000137e-01
8.158864179999999466e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.449064250000000387e-01
8.159999999999999476e-01,0.000000000000000000e+00,1.626303259999999859e-08,7.449064450000000281e-01
8.160000099999999978e-01,0.000000000000000000e+00,1.499999990000000061e+00,7.449100699999999797e-01
8.160000219999999915e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.449087269999999927e-01
8.160001070000000301e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.449068899999999882e-01
8.160012260000000239e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.449068770000000228e-01
8.160191339999999238e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.449069299999999672e-01
