t,ecg_signal_offset
4.134897360703812530e-01,6.191558441558443482e-01
4.144672531769306167e-01,6.193506493506495403e-01
4.154447702834799805e-01,6.242207792207793426e-01
4.164222873900293442e-01,6.290259740259740440e-01
4.173998044965787080e-01,6.298701298701300244e-01
4.183773216031280717e-01,6.251948051948054141e-01
4.193548387096774355e-01,6.158441558441559716e-01
4.203323558162267992e-01,6.087662337662338441e-01
4.213098729227761630e-01,6.122077922077924228e-01
4.222873900293255267e-01,6.235714285714286653e-01
4.232649071358748905e-01,6.267532467532469509e-01
4.242424242424242542e-01,6.277272727272728003e-01
4.252199413489736179e-01,6.225974025974028159e-01
4.261974584555229817e-01,6.164935064935066489e-01
4.271749755620723454e-01,6.118831168831169176e-01
4.281524926686217092e-01,6.097402597402599156e-01
4.291300097751710729e-01,6.085714285714288740e-01
4.301075268817204367e-01,6.109090909090910682e-01
4.310850439882698004e-01,6.131818181818182723e-01
4.320625610948191642e-01,6.109090909090910682e-01
4.330400782013685279e-01,6.076623376623377926e-01
4.340175953079178917e-01,6.054545454545455785e-01
4.349951124144672554e-01,6.088311688311689451e-01
4.359726295210166191e-01,6.108441558441560781e-01
4.369501466275659829e-01,6.131818181818182723e-01
4.379276637341153466e-01,6.142857142857143238e-01
4.389051808406647104e-01,6.099999999999999867e-01
4.398826979472140741e-01,6.037012987012987386e-01
4.408602150537634379e-01,6.068181818181820342e-01
4.418377321603128016e-01,6.156493506493506684e-01
4.428152492668621654e-01,6.203246753246753897e-01
4.437927663734115291e-01,6.203896103896104908e-01
4.447702834799608929e-01,6.166883116883117300e-01
4.457478005865102566e-01,6.097402597402599156e-01
4.467253176930596203e-01,6.063636363636364379e-01
4.477028347996089841e-01,6.087012987012987431e-01
4.486803519061583478e-01,6.162987012987013458e-01
4.496578690127077116e-01,6.216233766233767444e-01
4.506353861192570753e-01,6.246103896103897268e-01
4.516129032258064391e-01,6.257142857142857784e-01
4.525904203323558028e-01,6.245454545454546258e-01
4.535679374389051666e-01,6.257142857142857784e-01
4.545454545454545303e-01,6.311688311688312680e-01
4.555229716520038941e-01,6.364935064935065556e-01
4.565004887585532578e-01,6.398051948051949323e-01
4.574780058651026216e-01,6.387012987012988807e-01
4.584555229716519853e-01,6.314285714285714501e-01
4.594330400782013490e-01,6.244155844155845347e-01
4.604105571847507128e-01,6.296753246753247213e-01
4.613880742913000765e-01,6.378571428571429003e-01
4.623655913978494403e-01,6.420779220779221363e-01
4.633431085043988040e-01,6.438311688311689762e-01
4.643206256109481678e-01,6.398701298701300333e-01
4.652981427174975315e-01,6.382467532467533955e-01
4.662756598240468953e-01,6.372727272727273240e-01
4.672531769305962590e-01,6.375974025974027182e-01
4.682306940371456228e-01,6.408441558441559938e-01
4.692082111436950420e-01,6.399350649350650233e-01
4.701857282502444058e-01,6.347402597402598268e-01
4.711632453567937695e-01,6.278571428571430024e-01
4.721407624633431332e-01,6.242207792207793426e-01
4.731182795698924970e-01,6.244155844155845347e-01
4.740957966764418607e-01,6.268831168831170420e-01
4.750733137829912245e-01,6.309740259740260759e-01
4.760508308895405882e-01,6.319480519480521474e-01
4.770283479960899520e-01,6.265584415584416478e-01
4.780058651026393157e-01,6.188311688311689540e-01
4.789833822091886795e-01,6.103246753246753808e-01
4.799608993157380432e-01,6.133766233766235754e-01
4.809384164222874070e-01,6.246103896103896158e-01
4.819159335288367707e-01,6.293506493506494381e-01
4.828934506353861345e-01,6.235064935064935643e-01
4.838709677419354982e-01,6.144805194805195159e-01
4.848484848484848619e-01,6.078571428571428736e-01
4.858260019550342257e-01,6.029870129870131823e-01
4.868035190615835894e-01,6.053246753246753764e-01
4.877810361681329532e-01,6.096753246753248145e-01
4.887585532746823169e-01,6.150649350649352032e-01
4.897360703812316807e-01,6.152597402597403953e-01
4.907135874877810444e-01,6.100000000000000977e-01
4.916911045943304082e-01,6.000000000000000888e-01
4.926686217008797719e-01,5.918181818181817988e-01
4.936461388074291357e-01,5.923376623376623851e-01
4.946236559139784994e-01,5.959740259740260448e-01
4.956011730205278631e-01,5.980519480519481679e-01
4.965786901270772269e-01,5.983116883116883500e-01
4.975562072336265906e-01,5.994155844155846236e-01
4.985337243401759544e-01,6.021428571428573129e-01
4.995112414467253181e-01,6.148701298701300111e-01
5.004887585532746819e-01,6.344155844155845436e-01
5.014662756598240456e-01,6.489610389610391827e-01
5.024437927663734094e-01,6.627922077922078214e-01
5.034213098729227731e-01,6.752597402597404486e-01
5.043988269794721369e-01,6.931818181818183433e-01
5.053763440860215006e-01,7.150649350649351810e-01
5.063538611925708643e-01,7.432467532467534888e-01
5.073313782991202281e-01,7.774025974025974284e-01
