 time            v(clk)          v(voutp)        v(voutn)        v(vinp)         v(vinn)        
 3.15046459e-07  0.00000000e+00  6.53881493e-02  6.77066096e-02  7.26565232e-01  7.50000000e-01 
 3.15380653e-07  0.00000000e+00  1.44844751e-02  1.53694313e-02  7.26566903e-01  7.50000000e-01 
 3.16049041e-07  0.00000000e+00 -5.48558090e-04 -5.50660339e-04  7.26570245e-01  7.50000000e-01 
 3.16803952e-07  0.00000000e+00 -1.38976027e-04 -1.45224908e-04  7.26574020e-01  7.50000000e-01 
 3.17601349e-07  0.00000000e+00 -1.66421066e-05 -1.67847274e-05  7.26578007e-01  7.50000000e-01 
 3.18556622e-07  0.00000000e+00 -1.06943973e-05 -1.07775138e-05  7.26582783e-01  7.50000000e-01 
 3.19755456e-07  0.00000000e+00 -3.35858810e-06 -3.42966250e-06  7.26588777e-01  7.50000000e-01 
 3.21811753e-07  0.00000000e+00  6.48913041e-07  6.38367639e-07  7.26599059e-01  7.50000000e-01 
 3.25924346e-07  0.00000000e+00  7.32631480e-07  7.38948811e-07  7.26619622e-01  7.50000000e-01 
 3.33219819e-07  0.00000000e+00  2.03194745e-07  2.04890187e-07  7.26656099e-01  7.50000000e-01 
 3.47643412e-07  0.00000000e+00  1.24266936e-07  1.24165919e-07  7.26728217e-01  7.50000000e-01 
 3.76490596e-07  0.00000000e+00  1.40285484e-07  1.40243246e-07  7.26872453e-01  7.50000000e-01 
 3.77000000e-07  0.00000000e+00  1.41390992e-07  1.41371898e-07  7.26875000e-01  7.50000000e-01 
 3.77001000e-07  1.50000000e-01 -7.15102461e-03 -7.15102440e-03  7.26875005e-01  7.50000000e-01 
 3.77003000e-07  4.50000000e-01 -2.26178907e-02 -2.26178904e-02  7.26875015e-01  7.50000000e-01 
 3.77007000e-07  1.05000000e+00 -5.48344526e-02 -5.48344531e-02  7.26875035e-01  7.50000000e-01 
 3.77010000e-07  1.50000000e+00 -7.28689091e-02 -7.28689195e-02  7.26875050e-01  7.50000000e-01 
 3.77010614e-07  1.50000000e+00 -7.32866671e-02 -7.32866900e-02  7.26875053e-01  7.50000000e-01 
 3.77011842e-07  1.50000000e+00 -7.32215168e-02 -7.32216179e-02  7.26875059e-01  7.50000000e-01 
 3.77014299e-07  1.50000000e+00 -7.29413495e-02 -7.29422697e-02  7.26875071e-01  7.50000000e-01 
 3.77019212e-07  1.50000000e+00 -7.28057326e-02 -7.28100362e-02  7.26875096e-01  7.50000000e-01 
 3.77026126e-07  1.50000000e+00 -7.28493081e-02 -7.28597900e-02  7.26875131e-01  7.50000000e-01 
 3.77037277e-07  1.50000000e+00 -7.29467679e-02 -7.29677020e-02  7.26875186e-01  7.50000000e-01 
 3.77059578e-07  1.50000000e+00 -7.30892711e-02 -7.31309144e-02  7.26875298e-01  7.50000000e-01 
 3.77104181e-07  1.50000000e+00 -7.33469943e-02 -7.34298118e-02  7.26875521e-01  7.50000000e-01 
 3.77193386e-07  1.50000000e+00 -7.38633685e-02 -7.40285004e-02  7.26875967e-01  7.50000000e-01 
 3.77371797e-07  1.50000000e+00 -7.48961607e-02 -7.52252769e-02  7.26876859e-01  7.50000000e-01 
 3.77728618e-07  1.50000000e+00 -7.69422694e-02 -7.75869858e-02  7.26878643e-01  7.50000000e-01 
 3.78442261e-07  1.50000000e+00 -8.03250737e-02 -8.06411398e-02  7.26882211e-01  7.50000000e-01 
 3.79097875e-07  1.50000000e+00 -7.47836320e-02 -5.69346904e-02  7.26885489e-01  7.50000000e-01 
 3.79665186e-07  1.50000000e+00 -2.57533244e-02  7.83515835e-02  7.26888326e-01  7.50000000e-01 
 3.80263146e-07  1.50000000e+00  1.29407796e-01  4.71834330e-01  7.26891316e-01  7.50000000e-01 
 3.80680317e-07  1.50000000e+00  2.46474566e-02  8.98555329e-01  7.26893402e-01  7.50000000e-01 
 3.81059869e-07  1.50000000e+00  2.20407793e-03  1.35346814e+00  7.26895299e-01  7.50000000e-01 
