t_analog,t_recon,analog_signal,spikes,recon,th
1.101434426229508297e-04,6.547360199999999741e-01,2.141311709752229842e+00,-2.500000000000000000e-01,1.211718749999994849e+00,2.062499999999999889e-01
1.106557377049180435e-04,6.570833200000000263e-01,2.141898975786757919e+00,-2.500000000000000000e-01,1.005468749999994804e+00,2.062499999999999889e-01
1.111680327868852573e-04,6.596024999999999805e-01,2.142465855703939770e+00,-2.500000000000000000e-01,7.992187499999947597e-01,2.062499999999999889e-01
1.116803278688524711e-04,6.624259200000000014e-01,2.143012326010169666e+00,-2.500000000000000000e-01,5.929687499999947153e-01,2.062499999999999889e-01
1.121926229508196849e-04,6.658956799999999898e-01,2.143538364057691492e+00,-2.500000000000000000e-01,3.867187499999947264e-01,2.062499999999999889e-01
1.127049180327868987e-04,6.716253199999999701e-01,2.144043948045538439e+00,-2.500000000000000000e-01,1.804687499999947375e-01,2.062499999999999889e-01
1.132172131147541125e-04,6.817201800000000089e-01,2.144529057020435836e+00,2.500000000000000000e-01,2.835937499999947042e-01,2.578124999999999861e-02
1.137295081967213263e-04,6.829506600000000427e-01,2.144993670877668901e+00,2.500000000000000000e-01,3.351562499999947153e-01,5.156249999999999722e-02
1.142418032786885401e-04,6.849819799999999903e-01,2.145437770361917185e+00,2.500000000000000000e-01,4.382812499999947375e-01,1.031249999999999944e-01
1.147540983606557539e-04,6.882939799999999719e-01,2.145861337068050823e+00,2.500000000000000000e-01,6.445312499999946709e-01,2.062499999999999889e-01
1.152663934426229541e-04,6.910231999999999486e-01,2.146264353441895256e+00,2.500000000000000000e-01,8.507812499999947153e-01,2.062499999999999889e-01
1.157786885245901679e-04,6.934793200000000102e-01,2.146646802780957763e+00,2.500000000000000000e-01,1.057031249999994760e+00,2.062499999999999889e-01
1.162909836065573817e-04,6.957992400000000410e-01,2.147008669235120237e+00,2.500000000000000000e-01,1.263281249999994804e+00,2.062499999999999889e-01
1.168032786885245955e-04,6.980222200000000266e-01,2.147349937807294218e+00,2.500000000000000000e-01,1.469531249999994849e+00,2.062499999999999889e-01
1.173155737704918093e-04,7.002033399999999519e-01,2.147670594354045726e+00,2.500000000000000000e-01,1.675781249999994893e+00,2.062499999999999889e-01
1.178278688524590231e-04,7.024050200000000466e-01,2.147970625586177906e+00,2.500000000000000000e-01,1.882031249999994937e+00,2.062499999999999889e-01
